ssp,year,contaminant,n_cells,baseline_exceed,projected_exceed,new_exceedances,pct_baseline_exceed,pct_projected_exceed,pct_new_exceed
SSP2-4.5,2030,As,25,4,5,1,16.0,20.0,4.0
SSP2-4.5,2030,Mn2+,25,7,7,0,28.000000000000004,28.000000000000004,0.0
SSP2-4.5,2030,Fe2+,25,25,25,0,100.0,100.0,0.0
SSP2-4.5,2030,Cr3+,25,0,0,0,0.0,0.0,0.0
SSP2-4.5,2030,NO3-,25,0,0,0,0.0,0.0,0.0
SSP2-4.5,2040,As,25,4,5,1,16.0,20.0,4.0
SSP2-4.5,2040,Mn2+,25,7,8,1,28.000000000000004,32.0,4.0
SSP2-4.5,2040,Fe2+,25,25,25,0,100.0,100.0,0.0
SSP2-4.5,2040,Cr3+,25,0,0,0,0.0,0.0,0.0
SSP2-4.5,2040,NO3-,25,0,0,0,0.0,0.0,0.0
SSP2-4.5,2050,As,25,4,5,1,16.0,20.0,4.0
SSP2-4.5,2050,Mn2+,25,7,9,2,28.000000000000004,36.0,8.0
SSP2-4.5,2050,Fe2+,25,25,25,0,100.0,100.0,0.0
SSP2-4.5,2050,Cr3+,25,0,0,0,0.0,0.0,0.0
SSP2-4.5,2050,NO3-,25,0,0,0,0.0,0.0,0.0
SSP2-4.5,2060,As,25,4,7,3,16.0,28.000000000000004,12.0
SSP2-4.5,2060,Mn2+,25,7,8,2,28.000000000000004,32.0,8.0
SSP2-4.5,2060,Fe2+,25,25,25,0,100.0,100.0,0.0
SSP2-4.5,2060,Cr3+,25,0,0,0,0.0,0.0,0.0
SSP2-4.5,2060,NO3-,25,0,0,0,0.0,0.0,0.0
SSP5-8.5,2030,As,25,4,5,1,16.0,20.0,4.0
SSP5-8.5,2030,Mn2+,25,7,7,0,28.000000000000004,28.000000000000004,0.0
SSP5-8.5,2030,Fe2+,25,25,25,0,100.0,100.0,0.0
SSP5-8.5,2030,Cr3+,25,0,0,0,0.0,0.0,0.0
SSP5-8.5,2030,NO3-,25,0,0,0,0.0,0.0,0.0
SSP5-8.5,2040,As,25,4,5,1,16.0,20.0,4.0
SSP5-8.5,2040,Mn2+,25,7,9,2,28.000000000000004,36.0,8.0
SSP5-8.5,2040,Fe2+,25,25,25,0,100.0,100.0,0.0
SSP5-8.5,2040,Cr3+,25,0,0,0,0.0,0.0,0.0
SSP5-8.5,2040,NO3-,25,0,0,0,0.0,0.0,0.0
SSP5-8.5,2050,As,25,4,7,3,16.0,28.000000000000004,12.0
SSP5-8.5,2050,Mn2+,25,7,8,2,28.000000000000004,32.0,8.0
SSP5-8.5,2050,Fe2+,25,25,25,0,100.0,100.0,0.0
SSP5-8.5,2050,Cr3+,25,0,0,0,0.0,0.0,0.0
SSP5-8.5,2050,NO3-,25,0,0,0,0.0,0.0,0.0
SSP5-8.5,2060,As,25,4,7,3,16.0,28.000000000000004,12.0
SSP5-8.5,2060,Mn2+,25,7,7,2,28.000000000000004,28.000000000000004,8.0
SSP5-8.5,2060,Fe2+,25,25,25,0,100.0,100.0,0.0
SSP5-8.5,2060,Cr3+,25,0,0,0,0.0,0.0,0.0
SSP5-8.5,2060,NO3-,25,0,0,0,0.0,0.0,0.0
