iteration,scenario,dalys_averted,total_cost_usd,cost_per_daly,as_reduction_pct,mn_reduction_pct,fe_reduction_pct
0,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
0,S2_po4_removal,32072518.330803275,151500000,4.723670228742078,67.04303973963111,7.644108686007171,
0,S3_multi_treatment,51784226.88241632,808000000,15.603206780216734,86.00195176320733,60.19544487259192,96.46693525009252
0,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
0,S5_fertilizer_policy,3317199.050199978,50000000,15.072957408746918,7.193935153124296,,
1,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
1,S2_po4_removal,30075250.473276235,151500000,5.037364531165496,61.163560923947955,12.355044983340715,
1,S3_multi_treatment,57884433.19347797,808000000,13.958847922018522,91.48611975851443,87.69688222034424,77.35356731565909
1,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
1,S5_fertilizer_policy,15042481.38940765,50000000,3.3239196849003996,32.62229188536456,,
2,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
2,S2_po4_removal,21823598.99136973,151500000,6.9420263843700365,42.96963773712838,13.264189758046161,
2,S3_multi_treatment,51782425.93360224,808000000,15.603749446502448,90.00471700320911,53.648339815511584,69.02041105921266
2,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
2,S5_fertilizer_policy,6518526.053107172,50000000,7.670445679382781,14.136581197072648,,
3,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
3,S2_po4_removal,33898163.12706157,151500000,4.4692687161875915,71.03353990752478,7.548963982266987,
3,S3_multi_treatment,51462521.30627896,808000000,15.700746475113252,79.84346387124668,77.91507093677936,91.11165731892484
3,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
3,S5_fertilizer_policy,6306718.67678348,50000000,7.928053011792297,13.677239292300875,,
4,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
4,S2_po4_removal,31136615.19959473,151500000,4.8656541190762415,65.29487617195583,6.787437471709292,
4,S3_multi_treatment,55046531.377340436,808000000,14.678490720172936,89.59917711342598,74.20290014552286,79.8193157721528
4,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
4,S5_fertilizer_policy,13146890.113629617,50000000,3.8031807954463774,28.51136561642289,,
5,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
